,s_name,case p_type when 1 then '阅读' when 2 then '艺术' when 3 then '课程' when 4 then '万里行' end,is_use
159,海口市英才小学,艺术,1
160,常州市西新桥实验小学,艺术,1
161,金山区亭林小学,艺术,1
162,长宁区复旦小学,艺术,1
163,下町小学校,艺术,1
164,华东师范大学附属小学,艺术,1
165,上海田家炳中学,艺术,1
166,上海理工大学附属中学,艺术,1
167,闵行区绿茵幼儿园,艺术,1
168,宁波市鄞州区江东中心小学,艺术,1
169,上海市实验小学,艺术,1
170,上海市第二师范学校附属小学,艺术,1
171,奉贤区解放路小学,艺术,1
172,长宁区开元小学,艺术,1
173,上海棋院实验小学,艺术,1
174,郑州市二七区永安街小学,艺术,1
175,上海理工大学附属小学,艺术,1
176,青岛市城阳区城阳街道大北曲小学,艺术,1
177,上海市闸北田家炳小学,艺术,1
178,青岛市城阳区城阳街道田村小学,艺术,1
179,松江区九亭第四小学,艺术,1
180,嘉定区华江小学,艺术,1
181,闵行区华坪小学,艺术,1
182,未来创新课堂,艺术,1
183,闵行区莘庄幼儿园,艺术,1
184,深圳市南山文理实验学校,艺术,1
185,深圳市福田区荔园小学,艺术,1
186,杨浦区杨浦小学,艺术,1
187,常州市武进区星河小学,艺术,1
188,青岛市城阳区城阳街道后桃林小学,艺术,1
189,杭州市文新小学,艺术,1
190,长宁区北新泾第二小学,艺术,1
191,嘉定区紫荆小学,艺术,1
192,潍坊市北海双语学校,艺术,1
193,上海市民办阳浦小学,艺术,1
194,杨浦区平凉路第三小学,艺术,1
195,杨浦区平凉路第四小学,艺术,1
196,杨浦区建设小学,艺术,1
197,杨浦区杭州路第一小学,艺术,1
198,杨浦区长白二村小学分校,艺术,1
199,杨浦区水丰路小学,艺术,1
200,杨浦区水丰路小学分校,艺术,1
201,杨浦区内江路第二小学,艺术,1
202,杨浦区国和小学,艺术,1
203,松江区九亭第三小学,艺术,1
204,徐汇区徐汇实验小学,艺术,1
205,思来氏未来教师学院,艺术,1
206,博通读写堂,艺术,1
207,上海市教育科学研究院实验小学,艺术,1
208,上海市平和双语学校,艺术,1
209,静安区闸北成功教育实验小学,艺术,1
210,深圳市福田区教科院附小,艺术,1
211,宝山区第二中心小学,艺术,1
212,上海青浦世界外国语学校,艺术,1
213,黄浦区北京东路小学,艺术,1
214,杨浦区回民小学,艺术,1
215,普陀区平利路第一小学,艺术,1
216,嘉定区金鹤小学,艺术,1
217,普陀区联建小学,艺术,1
218,长宁实验小学,艺术,1
219,上海市控江中学,艺术,1
220,上海市市东中学,艺术,1
221,同济大学第一附属中学,艺术,1
222,上实剑桥外国语中学,艺术,1
223,上海市杨浦职业技术学校,艺术,1
224,上海体育学院附属中学,艺术,1
225,上海财经大学附属中学,艺术,1
226,杨浦高级中学,艺术,1
227,上海市中原中学,艺术,1
228,上海市复旦实验中学,艺术,1
229,上海市少云中学,艺术,1
230,民星中学,艺术,1
231,黄浦区海华小学,艺术,1
232,上海外国语大学尚阳外国语学校,艺术,1
233,蒙城县祥龙希望学校,艺术,1
234,浦东新区临沂八村幼儿园,阅读,1
235,浦东新区临沂八村幼儿园,艺术,1
236,上海师范大学第二附属中学,阅读,1
237,上海师范大学第二附属中学,艺术,1
238,上海市嘉定区迎园中学,阅读,1
239,上海市嘉定区迎园中学,艺术,1
240,嘉定区封浜小学,阅读,1
241,嘉定区封浜小学,艺术,1
242,合肥师范附小,阅读,1
243,合肥师范附小,艺术,1
244,溧阳市第二实验小学,阅读,1
245,溧阳市第二实验小学,艺术,1
246,杭州市下沙第一小学,阅读,1
247,杭州市下沙第一小学,艺术,1
248,上海市光新学校,阅读,1
249,上海市光新学校,艺术,1
250,杨浦区教师进修学院实验小学,阅读,1
251,杨浦区教师进修学院实验小学,艺术,1
252,郑州市郑东新区畅和街小学,阅读,1
253,郑州市郑东新区畅和街小学,艺术,1
254,浦东新区第二中心小学,阅读,1
255,浦东新区第二中心小学,艺术,1
256,普陀区豪园幼儿园,阅读,1
257,普陀区豪园幼儿园,艺术,1
258,深圳市福田区福强小学,阅读,1
259,深圳市福田区福强小学,艺术,1
260,静安区中华新路幼儿园,阅读,1
261,静安区中华新路幼儿园,艺术,1
262,闵行区实验小学,阅读,1
263,闵行区实验小学,艺术,1
264,漂流图书馆,阅读,1
265,漂流图书馆,艺术,1
266,上海市实验学校附属小学,阅读,1
267,上海市实验学校附属小学,艺术,0
268,嘉定区练川实验学校,阅读,1
269,嘉定区练川实验学校,艺术,1
270,嘉定区迎园小学,阅读,1
271,嘉定区迎园小学,艺术,1
272,嘉定区新成路小学,阅读,1
273,嘉定区新成路小学,艺术,1
274,静安区蕃瓜弄小学,阅读,1
275,静安区蕃瓜弄小学,艺术,1
276,深圳市福田区东海实验小学,阅读,1
277,深圳市福田区东海实验小学,艺术,1
278,静安区烽火幼儿园,阅读,1
279,静安区烽火幼儿园,艺术,1
280,虹口区柳营路小学,阅读,1
281,虹口区柳营路小学,艺术,1
282,上海同济黄渡小学,阅读,1
283,上海同济黄渡小学,艺术,1
284,嘉定区叶城小学,阅读,1
